article,pageviews
Joseph-Louis_Lagrange,52886
Joseph_Fourier,42386
Joseph_Gelders,221
Joseph_Henry,3851
Joseph_Hooton_Taylor_Jr.,1387
Joseph_Larmor,116
Joseph_Louis_Gay-Lussac,416
Joseph_Polchinski,118
Joseph_Rotblat,5281
Joseph_Swan,184
Joseph_Weber,357
Joseph_Weinberg,2960
Joseph_von_Fraunhofer,119
Josephson_effect,33870
Josiah_Willard_Gibbs,8200
Joukowsky_transform,295
Joule,583040
Joule_heating,12433
Joule_per_mole,1313
Journal_of_Cosmology,690
Juan_Maldacena,796
Julian_Barbour,449
Julian_Schwinger,2960
Julieta_Norma_Fierro_Gossman,570
Jupiter_mass,478
K3_surface,199
KASCADE,281
KEK,113
KM3NeT,297
KSTAR,585
KT_(energy),3560
Ka_band,5187
Kamioka_Observatory,2771
Kammback,2667
Kaon,13591
Kapitza's_pendulum,2396
Karl_Schwarzschild,11959
Karl_Taylor_Compton,3260
Katabatic_wind,89877
Kate_Hutton,2536
Katherine_Freese,439
Kavli_Institute_for_Theoretical_Physics,101
Keith_Riles,155
Keivan_Stassun,504
Kelly_Johnson_(engineer),120662
Kelvin,342222
Kelvin_wake_pattern,450
Kenneth_Bainbridge,169491
Kenneth_Creer,1180
Kenneth_John_Frost,485
Kepler's_equation,3552
Kepler's_laws_of_planetary_motion,187594
Kepler_orbit,93
Kerr_effect,580
Kerr_metric,14197
Kevin_Knuth,128
Kibble_balance,275
Killing_baby_Hitler,30556
Kilogram,156013
Kilogram-force,614
Kilogram-force_per_square_centimetre,505
Kilogram_per_cubic_metre,361
Kilometre,95537
Kilometres_per_hour,1211
Kinematics,38112
Kinetic_diameter,290
Kinetic_energy,216626
Kinetic_theory_of_gases,23870
Kip_Thorne,117977
Kirchhoff's_circuit_laws,85228
Kirchhoff's_diffraction_formula,122
Kirchhoff's_law_of_thermal_radiation,211
Kite_experiment,26529
Klaus_Fuchs,705065
Klein_paradox,101
Klemperer_rosette,130
Klystron,3739
Koide_formula,1071
Kondo_effect,102
Krueger_flap,780
Ku_band,10473
Kugelblitz_(astrophysics),65061
Kundt's_tube,966
Kuramoto_model,1545
LAGEOS,874
LARES_(satellite),584
LIGO,59846
LK-99,774132
L_band,11683
Laboratori_Nazionali_del_Gran_Sasso,1469
Laboratory_glassware,1134
Ladder_operator,8412
Ladder_paradox,3300
Lagrange_point,308369
Lagrangian_(field_theory),10380
Lagrangian_and_Eulerian_specification_of_the_flow_field,206
Lagrangian_mechanics,108277
Lamb_shift,988
Lamb_waves,179
Lambda-CDM_model,73458
Lambda_baryon,134
Lambert's_cosine_law,96
Lambert's_problem,110
Lambertian_reflectance,1240
Laminar_flow,77940
Landau_levels,188
Landau_theory,94
Landauer's_principle,23023
Landspout,45310
Langevin_dynamics,590
Langevin_equation,5084
Laplace_transform,251987
Lapse_rate,24433
Large_Hadron_Collider,507575
Large_quasar_group,1204
Larmor_formula,290
Larmor_precession,193
Lars_Onsager,840
Laser,397725
Laser_Interferometer_Space_Antenna,2008
Laser_Ranging_Retroreflector,12562
Laser_ablation,97
Laser_cooling,2119
Laser_diode,12029
Laser_engraving,127
Laser_propulsion,1416
Laser_rangefinder,833
Laser_safety,16628
Laser_weapon,82723
Latent_heat,28440
Later_life_of_Isaac_Newton,11733
Lateral_flow_test,505
Lattice_Boltzmann_methods,196
Lattice_constant,2196
Laura_Bassi,2089
Laurence_D._Marks,139
Laurie_Brown_(physicist),614
Lawrence_Bragg,854
Lawrence_Krauss,43919
Laws_of_thermodynamics,316742
Lazare_Carnot,310
LeRoy_Apker_Award,91
Le_Chatelier's_principle,23161
Le_Sage's_theory_of_gravitation,96
Lead_shielding,229
Leading-edge_extension,145
Leading-edge_slat,2197
Leading_edge,534
Least-squares_spectral_analysis,834
Lee_Smolin,3129
Lee_wave,362
Legendre_polynomials,91222
Legendre_transformation,15645
Leidenfrost_effect,106370
Lena_Kourkoutis,3983
Lene_Hau,3772
Length,5333
Length_contraction,15060
Lennard-Jones_potential,33340
Lens,68796
Lens_flare,4720
Lenticular_lens,1440
Lenz's_law,48387
Leo_Esaki,131
Leo_Szilard,199520
Leon_Cooper,2834
Leon_M._Lederman,4391
Leona_Woods,1431
Leonard_Susskind,34821
Leonhard_Euler,394093
Leptogenesis,101
Lepton,60891
Lepton_number,116
Leslie_cube,116
Leucippus,11532
Lev_Landau,23156
Level-set_method,139
Lever,48650
Levi-Civita_symbol,42303
Lewis_Fry_Richardson,1000
Lewis_Ryder,115
Leyden_jar,41215
Li_Minhua,2147
Lichtenberg_figure,100285
Lidar,369950
Lift-induced_drag,90
Lift-to-drag_ratio,2182
Lift_(force),25119
Lift_coefficient,1840
Light,347139
Light-water_reactor,817
Light-year,358564
Light_cone,52264
Light_pillar,137299
Lighthill's_eighth_power_law,105
Lightning,450310
Lindbladian,493
Linear_dynamical_system,494
Linear_elasticity,616
Linear_particle_accelerator,11515
Linearization,549
Linus_Pauling,246092
Liouville's_theorem_(Hamiltonian),2245
Liquefaction,1909
Liquid,73467
Liquid_crystal,42462
Liquid_fluoride_thorium_reactor,334
Liquid_helium,8998
Liquid_hydrogen,31056
Liquid_oxygen,73882
Liquidmetal,2027
Lisa_Randall,13832
Lise_Meitner,105154
Lissajous_orbit,378
List_of_Bermuda_hurricanes,7366
List_of_Foucault_pendulums,280
List_of_Nikola_Tesla_patents,2776
List_of_Nobel_laureates_in_Physics,91821
List_of_accelerators_in_particle_physics,17073
List_of_awards_and_honors_received_by_Albert_Einstein,221
List_of_baryons,1169
List_of_black_holes,6878
List_of_centroids,6201
List_of_civilian_nuclear_accidents,443
List_of_common_physics_notations,41707
List_of_electrical_phenomena,157
List_of_elementary_physics_formulae,344
List_of_equations_in_fluid_mechanics,97
List_of_equations_in_quantum_mechanics,3216
List_of_former_planets,2139
List_of_gravitational_wave_observations,151
List_of_interstellar_and_circumstellar_molecules,943
List_of_largest_cosmic_structures,28751
List_of_laser_applications,230
List_of_laser_types,674
"List_of_letters_used_in_mathematics,_science,_and_engineering",110
List_of_light_sources,3687
List_of_materials_properties,686
List_of_metric_units,24394
List_of_moments_of_inertia,83685
List_of_most_massive_black_holes,122557
List_of_nominees_for_the_Nobel_Prize_in_Physics,2039
List_of_nuclear_research_reactors,102
List_of_orbits,7069
List_of_particles,47460
List_of_physical_constants,4296
List_of_physical_quantities,395
List_of_physicists,1387
List_of_quantum_gravity_researchers,117
List_of_quantum_processors,3579
List_of_quasiparticles,2783
List_of_refractive_indices,20714
List_of_relativistic_equations,197
List_of_rogue_waves,10930
List_of_scientific_publications_by_Albert_Einstein,379
List_of_scientists_whose_names_are_used_as_units,1544
List_of_second_moments_of_area,42044
List_of_semiconductor_materials,1758
List_of_states_of_matter,87579
List_of_superseded_scientific_theories,1601
List_of_telescope_types,201
List_of_textbooks_in_electromagnetism,2600
List_of_theoretical_physicists,1085
List_of_thermal_conductivities,43088
List_of_things_named_after_Albert_Einstein,430
List_of_things_named_after_Carl_Friedrich_Gauss,245
List_of_topics_characterized_as_pseudoscience,192375
List_of_tsunamis,88507
List_of_unexplained_sounds,74597
List_of_unsolved_problems_in_astronomy,1418
List_of_unsolved_problems_in_physics,141813
List_of_wind_tunnels,224
Lithium_atom,222
Litre,94900
Liu_Yunbin,521
Lloyd_Berkner,345
Lobster-eye_optics,3580
Lock-in_amplifier,853
Lockheed_Martin_Compact_Fusion_Reactor,1641
Long-lived_fission_product,138
Longitudinal_wave,13364
Look-elsewhere_effect,292
Looming_and_similar_refraction_phenomena,162
Loop_quantum_cosmology,103
Loop_quantum_gravity,40523
Lord_Kelvin,87769
Lorentz-violating_electrodynamics,119
Lorentz_covariance,403
Lorentz_factor,40245
Lorentz_force,93334
Lorentz_group,91
Lorentz_transformation,138967
Lorenz_gauge_condition,260
Los_Alamos_National_Laboratory,456753
Los_Alamos_Primer,872
Lotus_effect,94
Loudness,563
Louis_Slotin,295767
Louis_Witten,1924
Louis_de_Broglie,13259
Louise_Willingale,3138
Low_Earth_orbit,162750
Low_frequency,120
Lowest_temperature_recorded_on_Earth,65887
Lu_Yuanjiu,1412
Lubrication,91
Lucy_Jones,10289
Ludwig_Boltzmann,74510
Ludwig_Prandtl,144
Luigi_Galvani,899
Luis_Walter_Alvarez,193775
Luke_Chia-Liu_Yuan,184
Lumen_(unit),83657
Luminance,1569
Luminescence,978
Luminiferous_aether,73488
Luminosity,35650
Luminous_efficacy,91
Luminous_intensity,472
Lumped-element_model,385
Lunar_Laser_Ranging_experiments,1204
Lunar_eclipse,365229
Luneburg_lens,12499
Lux,52294
Lyapunov_exponent,2524
Lyapunov_time,114
Lycopodium_powder,1318
Lyman-alpha,98
Lyman_series,307
M-theory,125811
M._V._Ramana,124
MAUD_Committee,92
MOX_fuel,196
MXenes,620
Mach's_principle,1023
Mach_bands,145
Mach_number,418976
Mach_tuck,1491
Macroscopic_quantum_phenomena,159
Macroscopic_scale,154
Magdeburg_hemispheres,7128
Maggie_Aderin-Pocock,889
Magic_angle,1126
Magic_number_(physics),6916
Maglev,208276
Magnet,130655
Magnet_keeper,135
Magnet_motor,4836
Magnet_wire,222
Magnetar,92733
Magnetic_anisotropy,95
Magnetic_anomaly_detector,666
Magnetic_circuit,153
Magnetic_confinement_fusion,100
Magnetic_dipole,4069
Magnetic_domain,1531
Magnetic_energy,1139
Magnetic_field,297921
Magnetic_flux,39763
Magnetic_force_microscope,164
Magnetic_hysteresis,124
Magnetic_levitation,12829
Magnetic_mirror,425
Magnetic_moment,58268
Magnetic_monopole,47185
Magnetic_nanoparticles,2677
Magnetic_quantum_number,673
Magnetic_reconnection,396
Magnetic_refrigeration,1918
Magnetic_reluctance,321
Magnetic_resonance_imaging,341034
Magnetic_separation,139
Magnetic_skyrmion,681
Magnetic_susceptibility,7608
Magnetic_vector_potential,4833
Magnetic_water_treatment,122
Magnetism,90766
Magnetization,2948
Magneto-optical_trap,2526
Magnetohydrodynamic_drive,38124
Magnetohydrodynamic_generator,1526
Magnetohydrodynamics,16172
Magnetometer,58498
Magnetoreception,5011
Magnetosphere,37448
Magnetosphere_of_Jupiter,5466
Magnetotactic_bacteria,277
Magnification,289
Magnitude_(astronomy),4986
Magnon,268
Magnus_effect,67823
Mahendra_Singh_Sodha,135
Mains_hum,2112
Majorana_fermion,3884
Malaysia_Airlines_Flight_370_satellite_communications,1678
Manhattan_Project,1710494
Mani_Lal_Bhaumik,118
Manning_formula,909
Mantle_convection,5991
Many-worlds_interpretation,198161
Marangoni_effect,7923
Marc-Auguste_Pictet,131
Marcelo_Gleiser,1004
Marcia_McNutt,177
Margaret_Hamilton_(software_engineer),248206
Margherita_Hack,239
Marguerite_Perey,858
Maria_Goeppert_Mayer,5636
Maria_Spiropulu,151
Marian_Smoluchowski,301
Marie_Curie,1739677
Marietta_Blau,3353
Marika_Taylor,95
Mario_Livio,124
Mark_Oliphant,107
Martin_David_Kruskal,382
Martin_Rees,949
Martin_Ryle,110
Mary_Jackson_(engineer),218991
Maser,44204
Mass,184298
Mass-to-charge_ratio,1111
Mass_attenuation_coefficient,199
Mass_concentration_(astronomy),998
Mass_flow_rate,9628
Mass_flow_sensor,7459
Mass_flux,91
Mass_generation,285
Mass_in_general_relativity,149
Mass_in_special_relativity,2689
Mass_number,5144
Mass_spectrometry,97233
Mass_spectrum,306
Mass_versus_weight,19833
Massive_compact_halo_object,813
Massive_gravity,413
Massless_particle,1480
Massoud_Ali-Mohammadi,115
Material_derivative,1752
Material_point_method,376
Materials_science,74183
Mathematical_descriptions_of_the_electromagnetic_field,186
Mathematical_formulation_of_quantum_mechanics,1086
Mathematical_formulation_of_the_Standard_Model,10636
Mathematical_model,50871
Mathematical_physics,5164
Mathematical_universe_hypothesis,7453
Matrix-assisted_laser_desorption/ionization,2983
Matrix_mechanics,1750
Matter,200050
Matter_wave,45303
Matvei_Bronstein,292
Maupertuis's_principle,785
Maurice_Wilkins,912
Max_Born,449539
Max_Planck,206412
Max_Tegmark,66925
Max_q,3284
Max_von_Laue,530
Maximum_entropy_probability_distribution,469
Maximum_potential_intensity,2212
Maximum_power_principle,92
Maximum_power_transfer_theorem,290
Maximum_sustained_wind,6613
Maxwell's_demon,160862
Maxwell's_equations,446461
Maxwell_relations,7708
May_1921_geomagnetic_storm,5180
Mayak,1231
Mazuku,3215
Mean-field_theory,1719
Mean_free_path,10710
Mean_squared_displacement,792
Measurement,42429
Measurement_in_quantum_mechanics,2069
Measurement_problem,4068
Measurement_uncertainty,203
Mechanical_advantage,4864
Mechanical_energy,10629
Mechanical_resonance,2284
Mechanical_wave,6452
Mechanics,4961
Mechanism_of_sonoluminescence,2418
Medical_physicist,1434
Medical_physics,222
Medical_ultrasound,52850
MeerKAT,142
Megatsunami,153375
Meghnad_Saha,229
Meissner_effect,51714
Melba_Phillips,44387
Melting,205
Melting_point,39916
Memristor,12891
Mendeleev's_predicted_elements,98
Meniscus_(liquid),5060
Mercury-in-glass_thermometer,1152
Merle_Tuve,157
Meson,46305
Metacentric_height,998
Metal,276735
Metallic_hydrogen,54046
Metallic_microlattice,487
Metallicity,4073
Metallizing,109
Metamaterial,12211
Metastability,3146
Meteorology,60136
Meteotsunami,7847
Method_of_averaging,183
Method_of_characteristics,668
Methods_of_detecting_exoplanets,10805
Metre_per_second,1031
Metre_per_second_squared,1727
Metric_signature,191
Metric_system,236819
Metric_tensor_(general_relativity),3241
Metrication,2335
Miassite,257
Michael_Atiyah,1339
Michael_Berry_(physicist),960
Michael_Faraday,347474
Michael_Ghil,224
Michael_Green_(physicist),508
Michael_H._Hart,2166
Michael_Lubell,173
Michelson_interferometer,1280
Michio_Kaku,390844
Micro-g_environment,170
Micro_black_hole,32819
Microburst,2239
Microelectromechanical_system_oscillator,99
Microfluidics,1021
Microgram,11474
Micronova,544
Microquasar,616
Microscope,33348
Microwave,183271
Microwave_radio_relay,398
Microwave_transmission,5520
Mie_scattering,15515
Miguel_Alcubierre,905
Mikhail_Eremets,241
Mikhail_Lomonosov,3686
Mildred_Dresselhaus,316
Millennium_Prize_Problems,344077
Miller_cycle,653
Miller_index,41023
Millisecond_pulsar,445
Minkowski_space,86778
Mirage,73347
Mirror,111532
Mirror_image,1474
Mirror_matter,408
Mirror_symmetry_(string_theory),193
Miscibility,44717
Mist,2812
Mistral_(wind),11330
Mixture,15584
Modane_Underground_Laboratory,1127
Mode_locking,822
Modified_Newtonian_dynamics,41191
Mohsen_Fakhrizadeh,18250
Molar_heat_capacity,285
Molar_volume,796
Mole_(unit),293746
Molecular-beam_epitaxy,95
Molecular_dynamics,5101
Molecular_machine,521
Molecular_mass,5817
Molecular_sieve,2761
Molecular_vibration,1527
Molecule,93529
Molniya_orbit,8297
Molten-Salt_Reactor_Experiment,98
Molten-salt_reactor,36243
Moment_(physics),12646
Moment_of_inertia,240775
Momentum,186934
Momentum_operator,10659
Momentum_transfer,99
Monika_Schleier-Smith,92
Monoclinic_crystal_system,1390
Monomolecular_wire,473
Monte_Carlo_method,451698
Moody_chart,22649
Moon_dog,27715
Moonbow,26233
Moonlight,1408
Morse_potential,701
Moseley's_law,2162
Motion,16610
Mott_insulator,232
Mott_problem,125
Mpemba_effect,81607
Mu-metal,1321
Multipath_propagation,131
Multiple_time_dimensions,2688
Multipole_expansion,1992
Multiverse,435949
Muneer_Ahmad_Rashid,212
Muon,108479
Muon-catalyzed_fusion,5677
Muon_g-2,2320
Muonium,6722
Murray_Gell-Mann,31169
Mushroom_cloud,87956
Musical_acoustics,107
N-body_problem,51630
N-body_simulation,790
N-ray,1042
N._David_Mermin,99
NACA_airfoil,56153
NACA_cowling,137
NACA_duct,7230
NGC_1277,91
NRX,1493
Nahum_Shahaf,96
Naked_singularity,13215
Nano-thermite,865
Nanoelectromechanical_systems,258
Nanoimprint_lithography,1326
Nanoparticle,8599
Nanophotonics,100
Nanoscale_vacuum-channel_transistor,128
Nanotechnology,115232
Narinder_Singh_Kapany,194
Nat_(unit),790
Nathan_Myhrvold,4107
Nathan_Rosen,1750
National_High_Magnetic_Field_Laboratory,2000
National_Ignition_Facility,14471
National_Quantum_Initiative_Act,132
National_Solar_Observatory,159
Natural_frequency,4032
Natural_material,528
Natural_nuclear_fission_reactor,108911
Natural_philosophy,35211
Natural_units,3204
Nature_Communications,688
Naval_architecture,277
Navigation_mesh,791
Nd:YAG_laser,23047
Neal_Francis_Lane,708
Near_and_far_field,14459
Negative-index_metamaterial,97
Negative_energy,3366
Negative_mass,33812
Negative_probability,1623
Negative_resistance,1706
Negative_temperature,8803
Negative_thermal_expansion,579
Negentropy,3493
Neil_DeGrasse_Tyson,197919
Neil_Gershenfeld,4491
Neil_J._Gunther,96
Neil_Turok,1363
Neil_deGrasse_Tyson,1734590
Neoclassical_transport,188
Neodymium_magnet,53332
Neon_lighting,7182
Net_force,7722
Neutral-density_filter,19858
Neutral_buoyancy,110
Neutrino,347672
Neutrino_detector,17544
Neutrino_oscillation,3244
Neutrinoless_double_beta_decay,270
Neutron,178125
Neutron-induced_swelling,1059
Neutron_activation,2330
Neutron_bomb,234881
Neutron_capture,100
Neutron_detection,502
Neutron_moderator,1606
Neutron_poison,1802
Neutron_radiation,4409
Neutron_reflector,139
Neutron_research_facility,299
Neutron_source,756
Neutron_star,412318
Neutronium,15879
Nevada_Test_Site,273869
Newman's_energy_machine,2993
Newton's_cannonball,1757
Newton's_cradle,78750
Newton's_law_of_cooling,31584
Newton's_law_of_universal_gravitation,238043
Newton's_laws_of_motion,678910
Newton's_method_in_optimization,12682
Newton's_rings,3462
Newton-metre,25072
Newton_(unit),272271
Newton_disc,114
Newtonian_fluid,16753
Nicholas_Metropolis,268
Nichols_radiometer,101
Nick_Holonyak,1107
Nicola_Fox,799
Nicolas_Gisin,92
Nicolaus_Copernicus,628194
Niels_Bohr,842536
Niels_Bohr_Institute,492
Nikola_Tesla,2145216
Nikola_Tesla_Museum,1181
Nikola_Tesla_electric_car_hoax,7900
Nima_Arkani-Hamed,1103
Nimrud_lens,4146
Nines_(notation),196
Ning_Li_(physicist),14709
Nitrogen-vacancy_center,314
No-cloning_theorem,6105
No-communication_theorem,6273
No-go_theorem,150
No-hair_theorem,3914
Nobel_Committee_for_Physics,90
Nobel_Prize_in_Physics,188339
Noctilucent_cloud,29645
Noether's_theorem,82706
Noise,2190
"Noise,_vibration,_and_harshness",2763
Noise_(electronics),187
Noise_(video),2394
Noise_figure,1625
Noise_floor,171
Noise_pollution,15493
Non-Newtonian_fluid,132418
Non-equilibrium_thermodynamics,110
Non-inertial_reference_frame,570515
Non-ionizing_radiation,2833
Non-linear_sigma_model,140
Non-reversing_mirror,739
Non-standard_cosmology,1755
Nonclassical_light,102
Nonholonomic_system,103
Nonlinear_acoustics,92
Nonlinear_optics,4806
Nonlinear_system,36186
Normal_force,3172
Normal_mode,2631
Norman_Packard,666
Norris_Bradbury,24583
Norton's_dome,39443
Nose_cone_design,7027
Nova,97381
Novaya_Zemlya_effect,200
November_1882_geomagnetic_storm,100
Novikov_self-consistency_principle,13100
Nth_Country_Experiment,6260
Nuclear-powered_aircraft,43776
Nuclear_Overhauser_effect,101
Nuclear_binding_energy,10045
Nuclear_blackout,109
Nuclear_chain_reaction,25436
Nuclear_clock,392
Nuclear_data,205
Nuclear_electromagnetic_pulse,100516
Nuclear_explosion,75601
Nuclear_fallout,102327
Nuclear_fission,296591
Nuclear_fission_product,659
Nuclear_force,12764
Nuclear_fuel,13530
Nuclear_fusion,448626
Nuclear_isomer,1694
Nuclear_magnetic_moment,140
Nuclear_magnetic_resonance,56230
Nuclear_magnetic_resonance_spectroscopy,24726
Nuclear_pasta,9546
Nuclear_physics,31248
Nuclear_power,207551
Nuclear_power_plant,146147
Nuclear_pumped_laser,256
Nuclear_reaction,6335
Nuclear_reactor,241540
Nuclear_reactor_core,498
Nuclear_salt-water_rocket,3996
Nuclear_shell_model,1573
Nuclear_submarine,151919
Nuclear_thermal_rocket,27415
Nuclear_transmutation,12099
Nuclear_warfare,262437
Nuclear_weapon,84154
Nuclear_weapon_design,97807
Nuclear_weapon_yield,57569
Nuclear_weapons_and_Israel,233126
Nucleate_boiling,4133
Nucleon,1134
Nucleon_magnetic_moment,418
Nucleosynthesis,3956
Nuclide,792
Nucular,1444
Nukemap,1075
Number_density,106
Numerical_aperture,27651
Numerical_weather_prediction,694
Nusselt_number,27539
Nutation,136
Oak_Ridge_National_Laboratory,106017
Oberth_effect,7068
Objective_(optics),98
Oblique_shock,2039
Oblique_wing,7323
Observable,2708
Observable_universe,396317
Observational_cosmology,125
Observer_(quantum_physics),5847
Observer_effect_(physics),111977
Ocean_gyre,36130
Oceanography,29143
Oersted's_law,186
Office_of_Nuclear_Energy,2412
Oganesson,310956
Oh-My-God_particle,92854
Ohio_State_University,515718
Ohm,113766
Ohm's_law,383015
Ohmic_contact,405
Oil_drop_experiment,11946
Oklo,3918
Olbers'_paradox,253
Old_quantum_theory,394
Oleg_Losev,12678
Olga_Kennard,820
Olinto_De_Pretto,947
Oliver_E._Buckley_Prize,221
Oliver_Heaviside,11436
Olympus_Corporation,9580
Omega_baryon,320
On_the_Origin_of_Time,332
One-electron_universe,47717
One-way_mirror,19781
One-way_speed_of_light,4806
Operator_(physics),90
Optical_aberration,1096
Optical_amplifier,1292
Optical_cavity,221
Optical_coating,241
Optical_coherence_tomography,8710
Optical_contact_bonding,394
Optical_depth,182
Optical_fiber,159295
Optical_flat,353
Optical_frequency_multiplier,651
Optical_microscope,10351
Optical_neural_network,120
Optical_phenomena,577
Optical_phenomenon,608
Optical_ring_resonators,192
Optical_rotation,3174
Optical_sorting,741
Optical_spectrometer,998
Optical_telescope,321
Optical_toys,132
Optical_transfer_function,103
Optical_tweezers,4765
Optical_vortex,102
Optically_stimulated_luminescence,273
Opticks,294
Optics,54601
Optoelectronics,294
Orbit,35362
Orbital_decay,2130
Orbital_eccentricity,50743
Orbital_elements,24749
Orbital_inclination,12171
Orbital_mechanics,37440
Orbital_node,2000
Orbital_period,79625
Orders_of_magnitude_(energy),5313
Orders_of_magnitude_(length),76836
Orders_of_magnitude_(magnetic_field),365
Orders_of_magnitude_(mass),18821
Orders_of_magnitude_(pressure),665
Orders_of_magnitude_(temperature),1854
Orifice_plate,14131
Origin_of_avian_flight,186
Orthorhombic_crystal_system,3095
Orthovoltage_X-rays,163
Oscillation,30916
Oskar_Klein,665
Osmosis,103541
Otoacoustic_emission,933
Otto_Hahn,40529
Otto_Robert_Frisch,1097
Otto_Stern,124
Otto_cycle,6839
Otto_von_Guericke,1101
Outline_of_physical_science,19202
Outline_of_physics,388
Ouzo_effect,58559
Overpressure,226
Overtone,2858
Oxford_Electric_Bell,18494
P-factor,603
PGM-19_Jupiter,21077
PHOSFOS,134
PSR_B1919+21,2128
P_wave,6352
Pacific_Tsunami_Warning_Center,1468
Pair-instability_supernova,208
Pair_production,2132
Pakize_Tarzi,109
Panemone_windmill,826
Parabolic_trough,1609
Paraconical_pendulum,264
Paradox_of_radiation_of_charged_particles_in_a_gravitational_field,123
Paragliding,69445
Parallax_barrier,728
Parallel_(operator),248
Parallel_axis_theorem,26227
Parallel_universe,332
Parallelogram_of_force,215
Paramagnetism,52065
Parametric_oscillator,115
Parhelic_circle,714
Parity_(physics),21413
Partial_pressure,17972
Particle,13118
Particle-in-cell,124
Particle-size_distribution,94
Particle_Physics_Project_Prioritization_Panel,98
Particle_accelerator,223664
Particle_decay,501
Particle_detector,197
Particle_horizon,188
Particle_in_a_box,24070
Particle_physics,105827
Particle_segregation,2289
Particle_zoo,93
Particulate_matter,930
Partition_function_(statistical_mechanics),47697
Pascal's_barrel,2472
Pascal's_law,25579
Pascal_(unit),319596
Paschen's_law,15907
Pascual_Jordan,4535
Passive_daytime_radiative_cooling,1053
Past,113
Past_hypothesis,231
Path_integral_Monte_Carlo,111
Path_integral_formulation,47311
Path_of_least_resistance,582
Patrick_Blackett,175303
Paul_Corkum,1429
Paul_Dirac,168629
Paul_Ehrenfest,10092
Paul_Frampton,2281
Paul_Langevin,788
Paul_M._Sutter,373
Paul_Scherrer,1913
Pauli_exclusion_principle,89067
Pauli_matrices,115552
Peak_signal-to-noise_ratio,1740
Pele's_hair,3382
Pele's_tears,18525
Pendulum,99850
Pendulum_(mechanics),7787
Pendulum_wave,234
Peng_Lifa,294
Penguin_diagram,656
Penrose_diagram,6044
Penrose_graphical_notation,199
Penrose_process,26936
Pentaprism,98
Pentaquark,387
Percolation_theory,1839
Percy_Williams_Bridgman,2266
Perfect_fluid,378
Perhapsatron,1787
Perimeter_Institute_for_Theoretical_Physics,309
Periodic_table,3436798
Periscope,5151
Perlin_noise,54128
Permeability_(electromagnetism),61419
Permittivity,64023
Perovskite_(structure),4807
Perovskite_solar_cell,11251
Perpetual_motion,147845
Persis_Drell,465
Perturbation_theory,42183
Perturbation_theory_(quantum_mechanics),26583
Pervez_Hoodbhoy,107
Peryton_(astronomy),852
Peter_Buck_(restaurateur),4086
Peter_Debye,106
Peter_Fowler_(physicist),97
Peter_H._Fisher,2636
Peter_Higgs,106074
Peter_Kalmus_(climate_scientist),360
Peter_Lax,101
Peter_Mansfield,1519
Peter_Woit,1283
Phase-contrast_microscopy,378
Phase_(matter),1871
Phase_(waves),39655
Phase_conjugation,416
Phase_portrait,112
Phase_space,16517
Phase_transition,46860
Phase_velocity,9739
Phased_array,74656
Phases_of_ice,58951
Philip_Morrison,29533
Philipp_Lenard,306
Philipp_von_Jolly,1066
Philosophical_interpretation_of_classical_physics,232
Philosophy_of_physics,96
Philosophy_of_space_and_time,504
Philosophy_of_thermal_and_statistical_physics,198
Phonon,50647
Phonovoltaic,94
Phosphor,7237
Phosphorescence,38772
Photochromic_lens,502
Photoconductivity,138
Photodetector,286
Photodisintegration,90
Photodissociation,115
Photoelasticity,157
Photoelectric_effect,167030
Photographic_plate,573
Photolithography,66375
Photomultiplier_tube,2442
Photon,345121
Photon_energy,26899
Photon_epoch,369
Photon_sphere,682
Photonic_crystal,704
Photonic_integrated_circuit,678
Photonic_radar,93
Photonics,7045
Photoresist,3891
Photovoltaic_effect,106
Photovoltaics,69245
Phugoid,35300
Physical_Review,93
Physical_chemistry,15291
Physical_constant,27219
Physical_cosmology,9842
Physical_object,3987
Physical_optics,104
Physical_property,19598
Physical_quantity,4706
Physicist,53962
Physics,543224
Physics_Letters,195
Physics_beyond_the_Standard_Model,3127
Physics_envy,15007
Picotechnology,14905
Pierre-Simon_Laplace,90797
Pierre_Agostini,31877
Pierre_Auger_Observatory,154
Pierre_Curie,130490
Pierre_Louis_Maupertuis,1772
Piezoelectric_sensor,2778
Piezoelectricity,198142
Pilot_wave_theory,1344
Pinhole_(optics),595
Pink_noise,76454
Pion,59425
Pioneer_anomaly,2954
Piston_motion_equations,93
Pit_(nuclear_weapon),11615
Pitch-up,301
Pitch_drop_experiment,247333
Pitot_tube,55018
Planck's_law,88217
Planck_(spacecraft),184
Planck_constant,624447
Planck_energy,5867
Planck_length,42402
Planck_relation,2901
Planck_star,714
Planck_time,15089
Planck_units,320213
Plane_wave,380
Planetarium,10833
Planetary_nebula,44142
Planets_beyond_Neptune,67861
Plasma-powered_cannon,121
Plasma_(physics),561957
Plasma_cosmology,793
Plasma_gasification,375
Plasma_globe,56173
Plasma_oscillation,1454
Plasma_propulsion_engine,1836
Plasma_speaker,823
Plasma_stealth,910
Plasma_torch,96
Plasma_window,172
Plasmoid,79415
Plasmon,1378
Plastic_magnet,130
Plasticity_(physics),3986
Plate_tectonics,545487
Plato,1058584
Plum_pudding_model,22395
Plutonium,457523
Plutonium(IV)_oxide,1770
Plutonium-238,5003
Plutonium-239,71946
Pneumatic_cylinder,100
Pockels_effect,112
Point_spread_function,8677
Poise_(unit),5029
Poisson's_equation,45418
Poisson's_ratio,57289
